room_id,floor,function_type,function_detail,area_m2,perimeter_m,centroid_x,centroid_y,door_count,window_count,facade_orientation,opens_to,nearest_stair_id,nearest_stair_distance_m,integration_hh,connectivity,mean_depth,step_depth_from_entrance
1,basement,workshop,Takı Tasarım Atölyesi,37.28,24.94,-41.649,87.978,1,0,interior,corridor,S_NW,28.91,1.1528560749663,1,5.305555555555555,6
2,basement,workshop,En. Tas. Maket Atölyesi,81.969,42.89,-41.649,75.998,2,4,W,corridor,S_NW,39.68,1.1528560749663,1,5.305555555555555,6
3,basement,laboratory,Mimari Koruma Lab.,69.484,37.88,-41.649,60.782,1,2,W,corridor,S_NW,54.1,1.1528560749663,1,5.305555555555555,6
4,basement,workshop,En. Tas. Maket Atölyesi,76.689,40.77,-41.649,36.419,2,2,S,corridor,S_SW,16.33,1.705082935303211,3,3.911111111111111,4
5,basement,workshop,En. Tas. Maket Atölyesi,211.347,63.5,-55.892,29.459,1,3,SW,room_4,S_SW,0.53,1.270929527878922,1,4.905555555555556,5
6,basement,workshop,Marangoz Atölyesi,200.476,62.53,-55.892,39.619,2,4,S,corridor,S_SW,10.17,1.1528560749663,1,5.305555555555555,6
7,basement,workshop,En. Tas. Maket Atölyesi,158.597,50.81,-53.189,57.603,2,3,W,corridor,S_NW,55.31,1.1528560749663,1,5.305555555555555,6
8,basement,archive,Yapı Malzemesi Arşivi,195.369,57.48,-53.189,74.238,2,2,W,corridor,S_NW,38.72,1.1528560749663,1,5.305555555555555,6
9,basement,laboratory,Yapı Malzemesi Lab.,89.229,38.24,-53.189,87.678,1,2,W,corridor,S_NW,25.35,1.1528560749663,1,5.305555555555555,6
10,basement,laboratory,Yapı Fiziği ve Çev. K. Lab.,410.465,83.34,-56.422,107.629,1,6,NW,corridor,S_NW,5.19,1.1528560749663,1,5.305555555555555,6
11,basement,workshop,Maket Atölyesi,123.876,49.83,-27.598,110.681,1,3,N,corridor,S_NW,28.9,1.157336085620314,2,5.288888888888889,6
12,basement,technical_service,Teknik Servis,110.96,43.1,-10.938,111.505,3,2,N,corridor,S_NW,45.5,1.199279809528701,2,5.138888888888889,5
13,basement,workshop,Baskı Atölyesi,83.846,36.73,7.301,111.505,2,3,N,corridor,S_NE,44.78,1.071299110430314,2,5.633333333333334,6
14,basement,archive,Restorasyon Arşivi,97.644,42.19,20.199,110.681,1,3,N,corridor,S_NE,31.93,1.0674593286725,1,5.65,6
15,basement,circulation,Asansör + WC önü,44.177,28.3,38.878,112.823,2,0,interior,corridor,S_NE,13.18,1.564734602625013,7,4.172222222222222,4
16,basement,wc,WC,191.457,59.31,52.061,112.823,2,2,N,room_15,S_NE,0.0,1.19128461079851,1,5.166666666666667,5
17,basement,circulation,Servis koridoru,200.476,62.53,51.013,102.663,3,0,interior,corridor,S_NE,10.21,1.370342727145526,6,4.622222222222222,5
18,basement,archive,Fakülte Arşivi,214.054,58.59,46.858,84.044,1,4,E,corridor,S_SE,54.83,1.341536723872196,2,4.7,5
19,basement,archive,Fakülte Arşivi,112.164,43.97,46.858,71.603,2,3,SE,room_18,S_SE,42.46,1.589792630069186,2,4.122222222222222,4
H1_B,basement,circulation,Ana koridor segmenti H1,65.513,36.94,24.968,95.781,1,0,interior,rooms_13_14_H2,S_NE,32.01,1.35784720075818,7,4.655555555555556,5
H2_B,basement,circulation,Ana koridor segmenti H2,90.646,47.43,8.431,95.781,1,0,interior,rooms_11_12_H1_H3,S_NE,46.84,1.359913939267705,8,4.65,5
H3_B,basement,circulation,Ana koridor segmenti H3,91.142,47.64,-13.756,95.781,1,0,interior,rooms_H2_H4,S_NW,45.94,1.570234548504187,7,4.161111111111111,4
H4_B,basement,circulation,Ana koridor segmenti H4,67.902,37.93,-30.927,95.781,1,0,interior,rooms_10_11_H3,S_NW,30.67,1.499099761910877,15,4.311111111111111,5
101,ground,office,İdare Amiri,10.193,12.9,224.376,30.47,1,2,S,corridor,S_SW,68.46,2.308691106198663,3,3.15,3
102,ground,exhibition_hall,Sergi Salonu,135.904,66.33,238.307,47.186,2,4,interior,corridor,S_SW,84.33,1.58696884209393,1,4.127777777777778,3
103,ground,lecture_studio,Mimarlık Bölümü,53.414,29.3,230.685,32.049,1,3,S,corridor,S_SW,74.81,1.58696884209393,1,4.127777777777778,3
104,ground,lecture_studio,Mimarlık Bölümü,45.021,26.84,238.255,32.049,1,3,S,corridor,S_SW,82.37,1.58696884209393,1,4.127777777777778,3
105,ground,lecture_studio,Mimarlık Bölümü,86.075,39.48,248.259,31.978,1,3,S,corridor,S_SE,30.99,1.58696884209393,1,4.127777777777778,3
106,ground,lecture_studio,Derslik / Stüdyo,73.9,34.56,269.471,29.121,1,2,S,corridor,S_SE,9.65,1.58696884209393,1,4.127777777777778,3
107,ground,lecture_studio,Derslik / Stüdyo,83.092,36.49,278.469,29.121,1,2,SE,corridor,S_SE,0.65,1.58696884209393,1,4.127777777777778,3
108,ground,office,Teknik Ofis,32.15,23.53,279.119,46.855,1,1,E,corridor,S_SE,17.73,2.13237102171571,3,3.327777777777778,3
109,ground,conference_hall,Konferans Salonu,214.134,58.6,267.561,57.817,2,4,E,corridor,S_SE,30.94,1.58696884209393,1,4.127777777777778,3
110,ground,research_centre,BİM 2,128.521,46.32,267.561,70.678,1,3,E,corridor,S_SE,43.13,1.45515221188743,1,4.411111111111111,4
111,ground,research_centre,BİM 1,214.054,58.59,267.561,83.706,2,3,E,corridor,S_NE,31.01,1.45515221188743,1,4.411111111111111,4
112,ground,library,Kütüphane,191.457,59.31,272.764,112.485,2,4,NE,corridor,S_NE,6.36,1.45515221188743,1,4.411111111111111,4
113,ground,circulation,WC bölgesi (kuzeydoğu),44.177,28.3,259.581,112.485,1,0,interior,corridor,S_NE,19.54,2.053938984135362,10,3.416666666666667,3
114,ground,research_centre,Çevre ve Şehircilik UYG-AR,67.902,37.93,245.421,94.419,4,2,N,corridor,S_NE,38.24,1.45515221188743,1,4.411111111111111,4
115,ground,research_centre,Çevre ve Şehircilik UYG-AR,83.129,44.29,229.149,94.419,3,2,N,corridor,S_NE,53.14,1.58696884209393,1,4.127777777777778,3
116,ground,lecture_studio,Mimarlık Bölümü,117.297,47.98,243.411,109.556,2,3,N,corridor,S_NE,35.83,1.45515221188743,1,4.411111111111111,4
117,ground,lecture_studio,Mimarlık Bölümü,83.488,36.65,228.58,110.335,2,3,N,corridor,S_NE,50.58,1.45515221188743,1,4.411111111111111,4
118,ground,lecture_studio,Mimarlık Bölümü,95.452,39.37,218.264,111.6,1,3,N,corridor,S_NW,62.34,1.58696884209393,1,4.127777777777778,3
119,ground,research_centre,BİM 3,83.129,44.29,207.379,94.419,1,2,N,corridor,S_NW,54.52,1.58696884209393,1,4.127777777777778,3
120,ground,institute,Sosyal Bilimler Enst.,83.488,36.65,207.948,110.335,2,2,N,corridor,S_NW,52.06,1.459907611272684,1,4.4,4
121,ground,institute,Sosyal Bilimler Enst.,58.598,30.81,197.555,109.556,1,2,N,corridor,S_NW,41.72,1.459907611272684,1,4.4,4
122,ground,lecture_studio,Mimarlık Bölümü,59.712,31.14,188.907,109.556,1,3,N,corridor,S_NW,33.1,1.459907611272684,1,4.4,4
123,ground,research_centre,BİM 4,67.902,37.93,191.106,94.419,1,2,N,corridor,S_NW,39.54,1.459907611272684,1,4.4,4
124,ground,circulation,WC bölgesi (kuzeybatı),44.177,28.3,176.947,112.485,1,0,interior,corridor,S_NW,21.01,2.063426000228366,10,3.405555555555555,3
125,ground,wc,WC,191.457,59.31,163.764,112.485,3,2,NW,room_124,S_NW,7.83,1.459907611272684,1,4.4,4
126,ground,lecture_studio,Derslik / Stüdyo,207.592,57.66,168.967,83.937,1,4,W,corridor,S_NW,31.38,1.459907611272684,1,4.4,4
127,ground,conference_hall,Konferans / büyük mekân,207.592,57.66,168.967,57.582,1,4,W,corridor,S_SW,31.3,1.58696884209393,1,4.127777777777778,3
